Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Please select the most relevant choice.,Please select the option that best applies to you.,What musical instrument(s) do you play?,How long have you been playing?,HowLongPlayingFormatted,How many hours per day do you currently play your instrument(s)?,HoursPerDayFormatted,How many hours per day or per week do you currently play your instrument(s)? (Please specify per day,What are your major musical genres? - Selected Choice,What are your major musical genres? - Other - Text,When did you initiate your career in conducting and how?,Please state your music experience in the levels of music training given below. - High school - Music experience,Please state your music experience in the levels of music training given below. - Some college - Music experience,Please state your music experience in the levels of music training given below. - Associate’s degree - Music experience,Please state your music experience in the levels of music training given below. - Bachelor’s degree - Music experience,Please state your music experience in the levels of music training given below. - Master's degree - Music experience,Please state your music experience in the levels of music training given below. - PhD or professional degree - Music experience,"If applicable, what other types of musical training did you receive?","Have you completed any music examinations, juries, or received awards?","When, where, and which ones? (Referring to music examinations, juries, awards)",What are the most enjoyable aspects of your musical life?,What are some of your most vivid music-related memories?,"Do you have memories that also include specific musical moments (performing, listening, etc.)?",Can a piece of music take you to a different place and time?,Please share some examples of music making taking you to a different place and time.,With whom do you play music?,Are there any musicians in your family or amongst your friends?,How has your family's/friend's musicianship impacted you?,How has COVID-19 affected your ability to be a musician?,Which of the following performance and rehearsal options are currently available to you?,PRIVLESSONSPre,PRIVLESSONSDuring,COURSEWORKPre,COURSEWORKDuring,WARMUPPre,WARMUPDuring,FORMALTRAININGPre,FORMALTRAININGDuring,PERFORMANCEPre,PERFORMANCEDuring,REHEARSALPre,REHEARSALDuring,In what way has COVID-19 affected your income from music?,In what way has COVID-19 affected available rehearsal/practice space for you?,In what way has COVID-19 affected your motivation to play?,Please share any additional information on how COVID-19 has affected your ability to be a musician?,"Please list all of the countries where you have lived and the length of time, including your birthplace.",Please list the first language(s) of your parent(s)/guardian(s).,Where did your parent(s)/guardian(s) grow up?,What languages(s) does your family use with you (distinguish context if different for each language)?,"What exposure have you had to your first language, second language, ... n-th language in your family?","What exposure have you had to your first language, second language, ... n-th language in your community?","What exposure have you had to your first language, second language, ... n-th language in your study/living abroad?",In which countries do you have relatives and friends whom you visit frequently?,How has COVID-19 affected your ability to interact as a bi/multilingual and use languages?,In what way has COVID-19 affected your accessibility to persons in your bi- and multilingual communities?,In what way has COVID-19 affected travel for you?,In what ways has COVID-19 impacted your interactions with others in general?,In what ways has COVID-19 impacted your income?,In what ways has COVID-19 impacted your course delivery of language courses?,Please share any comments about language learning and/or teaching during COVID-19 if you are a student or teacher.,HIGHSCHOOLLANGSTUDIED,HIGHSCHOOLSEMESTERS,HIGHSCHOOLINSTRUCTION,SOMECOLLEGELANGSTUDIED,SOMECOLLEGESEMESTERS,SOMECOLLEGEINSTRUCTION,ASSOCIATESLANGSTUDIED,ASSOCIATESSEMESTERS,ASSOCIATESINSTRUCTION,BACHELORSLANGSTUDIED,BACHELORSSEMESTERS,BACHELORSINSTRUCTION,MASTERSLANGSTUDIED,MASTERSSEMESTERS,MASTERSINSTRUCTION,PHDLANGSTUDIED,PHDSEMESTERS,PHDINSTRUCTION,"Have you taken the SAT-II, IB, AP, Oral Proficiency, TOEFL, or other standardized tests of a language? If so, please list the test and your scores.",Why did you decide to learn your second language?,"Do you have ADHD /ADD or any other learning disorders or cognitive impairment? If yes, please explain.","Do you have any history of hearing or visual problems?  If yes, please explain.",FIRSTPROFICIENCY,FIRSTAGE,FIRSTOFTENREAD,FIRSTOFTENWRITE,FIRSTOFTENSPEAK,FIRSTOFTENLISTEN,SECONDPROFICIENCY,SECONDAGE,SECONDOFTENREAD,SECONDOFTENWRITE,SECONDOFTENSPEAK,SECONDOFTENLISTEN,THIRDPROFIENCY,THIRDAGE,THIRDOFTENREAD,THIRDOFTENWRITE,THIRDOFTENSPEAK,THIRDOFTENLISTEN,FOURTHPROFICIENCY,FOURTHAGE,FOURTHOFTENREAD,FOURTHOFTENWRITE,FOURTHOFTENSPEAK,FOURTHOFTENLISTEN,Age,Gender
9/24/20 14:54,9/24/20 15:40,IP Address,209.122.235.95,100,2741,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Born in Utrecht, Netherlands and I stayed there until I was 3, then I moved to Austria where I lived for 4 years. Then, I moved to Jordan for 2 years. After that I went back to the Netherlands and lived there for 6 years. Next, I went to the US for 3 years, and then back to the Netherlands where I have lived for just over a year now.",Dutch (both parents),Netherlands,Dutch,We speak always speak Dutch.,"I have been exposed to Dutch, German, and English in school when I lived in a country with a different language. Currently, I speak English with most of my friends, but Dutch with a few of them. Online, I mostly consume English content.",I'm not sure if abroad is considered outside the US or outside the country I'm from so I'll give you all of the information. I spoke Dutch at the two Dutch schools I went to. (6 years) I spoke German at the Austrian kindergarten I went to. (I went to that kindergarten for 3 years) I spoke English at the 3 international schools I went to. (6 years combined)All my college courses in the Netherlands are also taught in Dutch (1 year). ,"Netherlands, US","I was able to choose who to interact with regardless of physical distance, so I interacted more with my friends from the US.",Positive,Neutral,Negative,,,"I'm not taking any language courses at the moment, but I have been speaking more English because of COVID-19.","Dutch, English, German, French,","Respectively: 28, 20, 10, 4","Prespectively: Dutch, Dutch and Englsih, Dutch and English and German, Dutch",,,,,,,,,,,,,,,,"TOEFL: 111, IB SL English A Language and Literature: 5, German B: 6, CNaVT EDUP: passed, Goethe institut: C1 for reading, listening and speaking, B2 for writing.  ",The schools I was in used that as their language.,,No,Dutch,0,daily,almost daily,daily,daily,English,8,daily,daily,daily,daily,German,3,very rarely,havent since high school,havent since high school,rarely online,French,12,very rarely,haven't since 9th grade,haven't since 9th grade,haven't since 9th grade,19,Female
9/24/20 15:44,9/24/20 16:09,IP Address,24.90.231.237,100,1476,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"China, 28 years. U.S.: 26 years, Birthplace: China, ",Chinese,"Shanghai, China",Chinese,"School, family, and with friends and colleagues","School, family, with friends and colleagues","use at school, at home, and with my colleagues and friends",China,No affect,Negative,Negative,Negative,Neutral,,NA,"Chinese, English",6,Chinese,,,,,,,"Chinese, English",8,Chinese,English,4,English,English,6,English,"TOEFL, GRE",Mandatory,,No.,Chinese/Native,4,Very often,Often,Everyday,Everyday,English/native like,10,everyday,everyday,Everyday,Everyday,NA,,,,,,NA,,,,,,54,Female
9/24/20 16:23,9/24/20 17:05,IP Address,69.114.32.218,100,2528,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Instrumentalist,"Violin, Piano",19 years,19,1,1,,"Classical,Orchestral",,,"orchestral, lessons, chamber",,,"orchestral, lessons, chamber","lessons, chamber",,,Yes,"Central Jersey Regional Orchestra, NAfME All-National Orchestra, NJ All-State Orchestra, Wharton Music Center's Young Artists Concerto Competition, NJ Music Teacher's Association Concerto Competition (all in high school), Duke Orchestra Concerto Competition, Duke Symphony Orchestra Conductor's Award (all in undergraduate experience)","Being able to transfer my musical skills to listen to music in my everyday life critically and enjoy it all the more because of it. Knowing my taste. Being able to play my instruments as a relaxing, stimulating, and expressive hobby. Being surrounded by fellow musicians I can talk music with.","Besides the people I have met through my orchestral experiences and the teachers I have had over the years, my most vivid music-related memories are related to performances (orchestral, solo, auditions)",Yes,,,Either myself or the friends I have made over the years through orchestras,Yes,"Greatly - speaking with them, learning from them, playing with them",Neutral,Virtual (live),1,1,0,0,1.75,1.75,1,1,0.5,0,4,0,,,Positive,"More time to practice and listen to music because more time at home, but less time to play with others. Having to adapt through digital/virtual methods","Born in South Korea (first 4-5 years of life), raised in United States (the past 19 years)",Korean,Korea,Korea,"Constant exposure to Korean, I bring English to my household","Not as much exposure to Korean in community, mostly English","Constant exposure to Korean in Korea, constant exposure to English in America",Korea,"Not impacted. I use Korean at home and communicate in English with my friends, as it was before.",Neutral,Negative,Neutral,,,N/A,Latin,7 years (including middles school years),English/Latin,,,,,,,Mandarin,6,Mandarin,,,,,,,"OPI test - intermediate proficiency, AP Latin Vergil (4)",I was interested in Latin because of the benefits in knowing Latin to the vocabulary of English along with interest in the history/culture of the classics civilizations. I was interested in Chinese because of the universality of the language and availability in the 101 course for a freshman.,,No,Korean - Native,0,3,3,7,6,English - Native,5,7,7,7,7,Latin - Intermediate,12,1,2,1,1,Mandarin - Intermediate,18,2,3,5,4,23,Female
9/24/20 17:48,9/24/20 17:59,IP Address,174.109.126.84,100,619,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Born and lived in the U.S.A. for 19 years,Hindi,North India (Uttar Pradesh),"We use a mix of English and Hindi at home, but typically English in public",Hindi (my first language) is my parents native language and what I grew up speaking,"Most of my parents' friends are from India and speak Hindi so when we had community gatherings, we usually spoke Hindi","I haven't lived in India, but whenever I visit, I speak exclusively Hindi with all extended family and in public",India,"It has definitely reduced access to seeing other people. During the spring and summer, I rarely saw anyone in our Hindi-speaking community so I spoke Hindi less",Negative,Negative,Negative,Negative,Negative,I was enrolled in a Spanish language class at the beginning of the semester and ended up dropping the course because I did not feel like I was getting adequate speaking practice over Zoom,Spanish,7,Spanish,Spanish,1,Spanish,,,,,,,,,,,,,I took the AP Spanish Language exam and got a 5,"Foreign language was a requirement in my school district starting from 5th grade, and out of the options provided to us, Spanish was the most widely spoken and therefore seemed to be the most versatile",,No,Native,1,Almost never,Never,Everyday,Everyday (from people I know),Native,4,Everyday,Everyday (all forms),Everyday,Everyday (all forms),Advanced,8,1-2 times a week,1-2 times a week (texting),Rarely,"2-4 times a week (music, TV, people I know)",,,,,,,19,Female
9/24/20 19:40,9/24/20 19:47,IP Address,23.82.138.51,100,429,True,"I am a professional musician, I am a student majoring or minoring in music, I play a musical instrument or sing every day for at least 2 hours per day, OR I am a faculty member teaching music.",Instrumentalist,"percussion (mallets, timpani) and piano","piano for 13 years, percussion for 8",13,30 minutes,0.5,,"Classical,Orchestral",,,4 years,1 year,,,,,,Yes,"I played piano in the annual Wake Forest Music Festival, and won awards for that. I also auditioned and made several honors bands during my high school years. ",performances,"my most vivid one was crying during a performance of the song ""into the silent land"", which was about the shooting at sandy hook. ","Yes, i definitely have several songs in particular that i associate with certain moments in my life. ",No,,my band and myself,Yes,"my parents put me into piano lessons because they both played instruments, so that's one way",Negative,,1,0,2,2,1,1,0,0,1,0,3,0,,Negative,Positive,"it helped motivate me to practice
piano more since i was home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Female
9/24/20 19:51,9/24/20 20:05,IP Address,99.148.97.180,100,875,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States, my entire life",Spanish,Cuba,Spanish and English,"Spanish I hear every day from my family, English is spoken to me by my mother, aunts, and siblings occasionally. We are usually around my grandmother though, and she doesn’t speak English, so it is usually Spanish.","Growing up in an area with mostly Latinx, Spanish was spoken quite often in the community. However, because I live in the U.S. the primary mode of language was English.",I have never studied/lived abroad.,I have family in Cuba but because of foreign relations we cannot visit them frequently. ,"Since I am with my family all day and do not have much interaction with others, I speak Spanish much more than usual. The only time I really use English is during Zoom classes/meetings.",Neutral,Negative,Positive,Negative,Neutral,I have been attempting to learn more languages (Portuguese specifically) and having extra time at home has given me freedom to do so. ,Spanish,8,Spanish,Spanish,1,Spanish,,,,,,,,,,,,,N/A,I had to learn English as I started elementary school because school in the United States is taught in English.,,No,Spanish (Native),from birth (0),5,5,7,7,English (Native),4,7,7,7,7,,,,,,,,,,,,,19,Female
9/24/20 19:12,9/25/20 7:52,IP Address,98.26.36.20,100,45635,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United Kingdom (6 years)
France (3 years)
Switzerland (10 years)",English and French,"Mother in the US (Arizona)
Father in Belgium","French with my father, English with my mother, English with my sister",Full exposure to both French and English at home,"Growing up for the majority of my life in Geneva, I always spoke French in town, at restaurants, etc. ","My middle and high schools were completely bilingual - I took non-language classes in both French and English. The social aspects of school were also completely bilingual, meaning I had a lot of back-and-forth between the two languages. ","US, Belgium",I’ve maintained my ability to use both languages as I am lucky to be exposed to them both within my direct family. ,Neutral,Negative,Neutral,,,The discussion element of classes and meetings is very compromised. ,"Spanish, English, French",5 years,"Spanish, English, French",French ,1,French,,,,,,,,,,,,,"SAT II Spanish with Listening: 740
SAT II French: 800
TOEFL: 113 
IB English A SL: 7
IB Spanish B SL: 7","Ever since I was born, I have been communicating with my father in French and my mother in English - so this was not a conscious effort. I began learning Spanish at school when we were required to take a third language. ",,No,English - Native,0,7,7,7,7,French - Native,0,7,7,7,7,Spanish - Advanced,14,3,1,3,4,,,,,,,19,Female
9/25/20 10:28,9/25/20 10:48,IP Address,152.3.43.56,100,1215,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"India 4 years
United States 15 years",Telugu ,India,My mom usually speaks in Telugu and I respond either in English or Telugu. My dad speaks in a mix of English and Telugu and I respond with a mix also. ,"Telugu is the first language I’ve learned. This is a language I heard as a baby. I can’t read or write, but I can understand it and I can speak it. I grew up speaking it with my family and watching Telugu movies. Most of my relatives in India don’t know English, so I have to use the Telugu to communicate with them","English I kind of picked up from watching TV and then going to school in America. I don’t think my parents really spoke English at home when I was very young. English is my best language. It is the only language I can fluently speaking, understand, write, and read. My parents do you speak English at home from time to time. ",I’ve been learning French in school for years. This is really the only exposure I have to French.,I’ve only visited India twice.,It hasn’t really ,,Negative,Negative,,Negative,"Last semester, my French class became asynchronous. I lost the ability to actually speak with people. This is a huge part of my learning and it definitely had a negative impact.",French,3,English/Mostly French,French,1,English/Mostly French ,,,,,,,,,,,,,No,It was a graduation requirement.,,No,Telugu,0,1,1,7 at at home I we’re speaking it every day. I still speak it when I call my parents. I don’t speak it with anyone at Duke. ,3 I would more often at home. I Don’t really do it at school. If I did watch it would have to be a movie.,English,4,7 it’s what I read for fun in and all my classes are in,7 for class or in general,7 the main language I speak in,"7 almost all my entertainment comes in the form of this language. YouTube, TV, movies, books, songs, etc. ",French,13,4,5 for class,4 for class everyday ,4 for class,,,,,,,19,Female
9/25/20 11:49,9/25/20 12:08,IP Address,187.37.105.38,100,1100,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"São Paulo, Brasil - 19 years (birthplace) ","mom- english, dad - portuguese","mom born in texas, raised in pittsburg and new orleans. dad born and raised in são paulo brasil. ","today it is a mix of english and portuguese. when growing up the main home language was english to grow english habit (helped with american high school work, and dream of doing college in united states)","english exposure from books, films, mom, and homework. portuguese exposure from maids, workers, friends, dad, and tv. ","english exposure from school, portuguese exposure from daily city life (supermarket, friends, malls, street vendors, signs, books, etc.)",english exposure from summer programs/camps in the united states and family living in new york. portuguese exposure from speaking portuguese w friends I travel with or family when I travel and don’t want americans to hear what i’m saying in public spaces. ,united states ,"it has enhanced my ability and exposure, staying in brasil for the fall has allowed me to use english online classes and assignments and use portuguese more often when i go out or hang with my old high school friends. ",Positive,Negative,Negative,Negative,Negative,i am learning italian through remote learning at duke . interactive classes are best taken in person and i feel i lack practice and personal language interactions with teachers and peers. i try to find practice in other places such as netflix and youtube. but it is not the same. also additional info: i play more piano and guitar now due to some more down time in my own house due to covid quarantine. i played for 7 years as a child but stopped due to school work load. now picking it up has been a plus side to covid. ,portuguese,kindergarten-12th grade,english,italian ,2,english ,,,,,,,,,,,,,"IELTS (don’t remember the score but i remember having missed only 1 point out of the entire score. scored very high, near perfect) 
SAT - 1450
AP BIO- 4
AP LANG- 5
AP LITERATURE- 5
AP Calc- 4
AP CHEM- 3",i didn’t have a choice. portuguese is as natural as english to me. i wanted to learn italian because it is similar to portuguese and my dream is to live in itsly one day,,none. only done ear surgery this year march 2020 due to an infection that blocked my hearing for 4 months freshmen year. now it is better. i wear glasses to study. i have miopia in one eye and hyper on the other. it balances each other out so i don’t use glasses in day to day. ,native ,0/1,everyday for school/instagram/emails/books,whatsapp/essays/homework/emails,everyday w family and friends ,netflix like maybe 3x a week,native,0/1,everyday with friends and student clubs and home friends and workers here,text messages or instagram finsta stories ,"every day with the maids, workers, street people, friends ",not much. maybe a couple meme instagram stories and tik toks ,beginner/intermediate,18,6x a week for homework ,3x a week for homework,4x a week for class,watching an italian netflix show so maybe 2x a week?,beginnet,18,my latino friends’ stories,never,"not usually, but i try with some latino friends","very frequently, one of my best friends speaks spanish with her parents everything i go over",19,Female
9/25/20 12:15,9/25/20 12:25,IP Address,66.60.177.131,100,579,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Instrumentalist,Piano,10 years,10,"Inconsistent, I stopped- but I volunteer consistently at my church.",,,"Jazz,Popular,Other",Worship,,All 4  years,0,0,0,0,0,,No,,The joy and the emotion it brings to people- it’s like telling a story,Playing for a musical,Só many! They are all very special,,,Family and friends,Yes,"He is a badass, also a curator for Da Vinci in the Ambrosian Library in Milan. Speaks 5+ languages.",Negative,"In-person and live,Virtual (pre-recorded)",0,0,0,0,1,1,1,1,1,1,1,1,,,Positive,Didn’t really affect me since I was pursuing it,"Brazil, America",Portuguese,Brazil,Portuguese and English blend,A lot of exposure to many languages,A lot,A lot,"Colômbia, South Korea, China, USA",Not as much! We call and FaceTime a lot,Positive,Negative,Positive,Negative,,Nothing much! ,3,8,"Spanish, Portuguese and English ",,,,,,,,,,,,,,,,TOEFL; don’t remember but I was hungover so I didn’t do well- but I still got a high score. ,I grew up with it! Because of my parents and their work,,Nope,7,3,5,7,7,2,7,3,7,7,7,7,5,10,0,4,4,0,,,,,,,21,Male
9/25/20 13:18,9/25/20 13:31,IP Address,168.5.88.122,100,749,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Instrumentalist,piano and cello,"piano 10 years, cello 7 years",10,1-2 hours piano,1.5,,"Classical,Jazz,Orchestral,Popular",,,playing alone,,,,,,choir in high school,No,,"playing music i enjoy on the piano, playing in an orchestra",playing in an orchestra was always memorable ,watching the brazilian jazz philharmonic,,,alone,Yes,encouraged me to pursue jazz,Positive,,0,0,0,0,0,0,0,0,0,0,0,0,,,Positive,n/a,"born in san antonio
usa: 1 year
brazil: 10 years
south korea: 7 years",portuguese,brazil,portuguese and english,we speak portuguese most of the time,"portuguese at home, english at school and home, korean with my extended family",only english since i came to study in texas,"brazil, usa",it hasnt,,Negative,Negative,,Negative,learning french online is harder,spanish ,3,english and portuguese,french,2,,,,,,,,,,,,,,ap spanish 5,very similar to portuguese,,no,native,1,almost never ,every day text,every day,almost never ,native ,5,every day,every day text and essays ,every day,every day,,,,,,,,,,,,,18,Female
9/25/20 10:25,9/25/20 15:41,IP Address,100.33.55.207,100,18937,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Birthplace: Moscow, Russia
Vienna, Austria: 1.5 years
Geneva, Switzerland: 5 years
New York, USA: 3-4 years
Toronto, Canada: 0.5-1 years
Moscow, Russia: 7.5 years total",Russian,"In Moscow, Russia","Russian. English is used very rarely - for example, when one of us needs to clarify the meaning of some word, or needs help with writing a document in English, etc. ","We speak Russian in the family and always have been, so my exposure to the Russian language has been more than adequate for my entire life.
We don't speak any other languages in my family - unless someone asks a question about a language problem (eg. meaning of a word, or to help with a document), etc.","Russian is my first language and I've used it the most for the first 14 years of my life.
English is my second language and I consider myself fluent in it. My exposure to it started at a very young age - I was taught English as a second language in my Russian school. However, the time when my exposure to English became bigger than my exposure to Russian was at 14 years old when I moved to New York and started going to an English-speaking school. ","I went to four schools in total (before going to my university) and three of them were Russian-speaking. The last school I attended before graduating high school was English-speaking, and now I am also attending an English-speaking university.","My relatives are in Russia, so if we plan to visit our family/distant relatives - we plan a visit to Moscow. We try to do that every other year. 
When I am not in Toronto as a university student, I live in New York with my parents - so I visit my friends there. ","It has not affected it much - thanks to social media I can interact with both of my Russian and English friends and my family members. I have not noticed much difference in that regard because I don't visit my family/relatves in Russia that often, so communicating through social media/messengers has become a routine for us. 
However, I definitely recognize the fact that the absence of face-to-face interaction with both of my English-speaking and Russian-speaking friends can potentially impact my language/interaction skills. Since I am stuck at home and cannot go to college in-person, I therefore cannot interact with my college friends as freely as I used to last year. 
However, I am also not too worried because colleges now have videocalls and classes where you have to participate in, so I don't think the level of my spoken English will decline.",Neutral,Negative,Negative,,Neutral,Teaching is negatively impacted by online learning in my opinion. ,United Nations International School,6,English,University of Toronto,2,English,,,,,,,,,,,,,"IB: 32
TOEFL: 110","I am currently learning French, and I would be willing to learn more languages in the future.",,No,"Russian, Native",N/A,Every day,Every day,Every day,Every day,"English, Native-like",10..?,Every day,Every day,Every day,Every day,"French, Beginner",3-4 times a week,3-4 times a week,3-4 times a week,3-4 times a week,3-4 times a week,,,,,,,19,Female
9/25/20 15:32,9/25/20 15:55,IP Address,98.199.112.224,100,1391,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Student OR Currently receiving formal musical training,"Piano, voice","Piano since 8 years old, voice since 12 years old",11,,1,1 hour per day,"Classical,Popular",,,Yes,,,,,,Went to a piano school since 8 years old,No,,When I’m playing for myself/just for the enjoyment of a piece without being most worried about technique ,"My performance at a high school piano competition where I was not well prepared, but I really enjoyed playing the piece on a stage in a big room even if it wasn’t perfect and I didn’t win the competition. A vivid singing related memory is at the ISAS festival, singing in front of my peers and just really feeling the musicZ",I sang at Carnegie hall as part of a choir program and the kind of energy you get when the choir sings together for the first time is really powerful. ,,,"By myself, in choirs, with my friends",Yes,I think it motivates me to keep playing music,Positive,In-person and live,1,0,0,0,,,,,0,0,2,6,,Neutral,Positive,I think covid in some ways has motivated me to play more seriously again. As an engineering student on campus it was hard to dedicate time to my music but at home studying it has been a nice break from studies,"Venezuela, birthplace, lived until 6 years old
United States, lived from 6 to now",Spanish ,Venezuela,"Spanish and English. Grandparents and extended family typically use Spanish. In my day to day, my parents and I speak mostly Spanish but with my brothers we will use a mix of the two languages","In my family, especially with cousins or grandparents, the exposure is mostly to Spanish because they do not speak English","In my community, in terms of school, it's mostly English. Sometimes when I’m at university for a while I notice myself speaking more English with my parents than I usually would because I don’t have that usual dose of Spanish. ","I studied Spanish until high school, as well as taking literature classes until high school. I also studied Chinese in high school and took a semester of it in university. ","Canada, Panama, Spain",Covid 19 has not affected my ability to use these languages because I still use them everyday ,Neutral,Negative,Neutral,Neutral,,I think language learning is more difficult during covid 19 if it is not a language you see everyday ,2,8,"Spanish, Chinese",1,1,Chinese,,,,,,,,,,,,,"IB Spanish - 6
IB Chinese ab initio - 7",My first language was Spanish. I had to learn English because we moved to the United States. I decided to learn Chinese because a friend was taking it and my school offered a good program. ,,No,Native,2,Everyday,Everyday-texting,Everyday,"Everyday- my parents, videos, music",Native,5,Everyday,"Everyday-formal writing, texting, letters",Everyday ,"Everyday- tv, radio, family",Intermediate,13,Once every two months,Not often,Not often,Once a week- music,,,,,,,19,Female
9/25/20 16:19,9/25/20 16:26,IP Address,190.86.109.155,100,388,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Salvador, 18 years
United States, 2 years
Birthplace: El Salvador",Chinese (Mandarin),Taiwan,"Chinese (Mandarin) and Spanish, but mainly Chinese.",Most of my exposure to Chinese was exposure in my family.,Most of my exposure to Spanish was in my community.,None,Taiwan and the US,"I only use English for academic purposes now and whenever I speak to my friends from Duke, which of course doesn’t happen as often anymore.",Negative,Negative,Negative,,,N/A,0,0,"English, Spanish",1,1,English,,,,,,,,,,,,,N/A,Because it’s the language spoken in the country I lived in.,,,Intermediate,3,Never,Never,Sometimes,Not often,Native,4,Always,Always (in school),Always,Always,Native-like,3,Always,Always (texting people),Always,Sometimes,,,,,,,20,Male
9/25/20 17:44,9/25/20 17:59,IP Address,152.3.43.43,100,892,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Instrumentalist,Piano,12 years,12,1 hour,1,,Classical,,,Yes,1 year,None,None,None,None,,Yes,"Chopin Youth Competition, Miami, FL, 2016-2018",Playing to relieve stress,Practicing piano at my neighbors’ house before I even owned my own piano,Attending my piano teacher’s concert was eye-opening to me,,,"Myself, my piano teacher",Yes,Helped me be supported by them,Neutral,"In-person and live,Virtual (live),Virtual (pre-recorded)",1,1,0,5,0,0,0,2,0,0,0,0,,Positive,Neutral,Given me more access to piano facilities at Duke ,"United States, 19 years","Spanish, English",United States ,"Speak mostly English but sometimes Spanish at home, Spanish always with grandparents",Learned Spanish first at home and then English,"Taken Spanish lessons every year, at first I learned English at school but now I use it the most","Studied English and Spanish up until college, now completing second semester of French in college","Spain, US",It has reduced my access to French speakers on campus as I’m learning the language,Neutral,Negative,Negative,,Negative,"Learning French online is much more difficult and frustrating. However, since I call my family back home, my Spanish has not been affected.",Spanish,4,Spanish,French,2,French,,,,,,,,,,,,,SAT II for Spanish- 800,Because it’s spoken in my family. I decided to learn the third language because I thought it would be fun to learn another language similar to the ones I already know.,,,Native,5,7,7,7,7,Native,1,2,6,6,7,Beginner ,18,6,6,4,6,,,,,,,19,Male
9/25/20 18:25,9/25/20 18:35,IP Address,152.3.43.49,100,556,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"England (birth place) - 8 years
United States - 10 years",Portuguese ,Brazil,Portuguese,They speak to me only in their native lnaguge,Having friends from several different countries who spoke these languages ,I studied 2 languages in an academic setting,Brazil,Only in academic terms (no longe heaving face to face conversations in certain languages),Neutral,Negative,Negative,Negative,Negative,It is much more difficult to have flowing conversations without face to face aspect,"French, Chinese",16,"French, Chinese",Chinese,1,Chinese,,,,,,,,,,,,,"AP Chinese, AP French, SAT II French",My parents speak it,,No,Native,0,Every day,Every day,Every day,Every day,Native,0,Every day,Every day,Every day,Every day,Intermediate,12,3 times a week,3 times a week,3 times a week,Every day,Intermediate,12,Every day,Every day,Every day,Every say,18,Female
9/18/20 19:20,9/18/20 19:23,IP Address,152.3.43.46,94,179,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United States (entire life, 19 years) Birthplace: Long Beach, CA",Korean,South Korea,Korean and English,Weekend Korean School + Church + Daily Conversations,Grew up around friends who spoke English,Speak Spanish because of courses taken during high school and college,United States,No,,Negative,Negative,,Negative,Language courses at Duke have definitely become way more over complicated,1,6,Spanish,,,,,,,1,2,Spanish,,,,,,,No,Because it’s relevant and useful in California,,no,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/20 19:18,9/18/20 20:08,IP Address,152.3.43.43,56,2990,False,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
